                     198432208	          karlstoney	       143	       240
                      20371582	          pauldambra	       803	      1108
                     398115975	         Jenna_Rich4	       109	       352
            980763520013864960	        BuyAndGoCars	        27	       183
                    3539308035	         smileykayu1	        64	      1137
            903520922803560448	        ASFC_CompSci	        33	        35
                      69096968	           clairehox	       122	       383
                     296681778	         Hotel_Scott	       691	      1689
                      16490293	            leilas22	       433	       947
           1011641474671370245	     RachelH04222886	         6	        57
                    1342572241	            CineCars	      4753	      4966
           1000819304600760321	       WomenWhoCode_	       340	       857
                    1015970755	     delythfoxthomas	        24	       158
                     359652439	        FionaKenyon1	       205	       665
                    2272498809	            tedney87	       115	       518
           1005124904222646273	             lwcodes	        51	        70
                      19373674	     SnakesNBradders	        73	       687
            851704597500526593	            Azcoupns	       478	      4008
            872449866190000128	       CarooHeadChef	       102	       313
                      19515721	         philclifton	     15726	      9011
                     285962530	      nesta_giovanna	        57	        99
                    2439956429	     BetteridgeMarie	        96	       226
                      97289556	         drjohnbates	      9250	      5985
                     838239127	      TalentedLadies	     41625	     37974
                      20363599	        TragicGareth	       426	       814
            920726994286936065	        Keirancooper	        71	       160
           1008011321269473280	       DennisCARLOT1	         0	         8
                     123499239	          shaun_gomm	      1176	       772
            838065149831434241	             this_lk	       265	       433
                    3362914083	        monaschommer	        41	       105
                     130490305	       rachaelevelyn	       948	       744
                     995545806	          UXScotland	      2712	      3069
                    2724383506	       FrontEndSheff	       261	       163
            717034375888650241	           ricCursen	       545	      1320
                      20766446	             fazanki	       352	       859
                    2864246985	            Kavi_V22	       578	       546
                      55246374	        rickers_mufc	        28	        88
                    2871781837	        smoothiebooo	        34	       128
                    3058096351	           lauren_IC	       393	       554
            910545444819947520	       techreturners	       451	       408
            840121075082051585	             Manc_ML	       257	       182
                    2211434576	            _JAStark	       897	       597
                     449305191	       conallmcginty	       215	       408
            989810453646848001	           AutoEsign	        51	      1486
                     276655090	     David3284332843	       223	       247
                     211886574	           London_cf	      3818	      2287
                      24917323	         RachaelHogg	      1159	       746
                     540958055	          aimeeeedia	      1180	      1333
                      16192502	       darrenpbaxter	        54	       396
           1001275539380879360	      steveredmond15	        19	        82
           1002582842281512960	      Kashif34368279	        28	       130
                     314212774	           sl_gregor	        90	       258
                     437145343	              todaav	       847	      4977
            952206717923799040	           LaunchMCR	       157	       626
                     248783469	         chrisdleech	       311	       336
            844841243959967744	        MafujShikder	       913	      4448
                    4103835748	        NaomiFulwood	        55	       105
                    2242414976	        SMaRTsalford	       620	      1987
                     536140695	      KohSamuiSpirit	     53073	     39799
            949003433662713856	        Rich24869654	         2	        43
                    1285919851	      nonatomicgames	       843	      1205
                      19435679	       NoDissasemble	      4416	      4491
            994560678890491905	        carsavenuegh	        66	       643
            784888486813892608	     RLadiesManchest	       451	       305
                      19508544	        RickyTraynor	       225	       504
                     261223168	         lisasynnott	       378	       338
                      40688641	           phildower	        24	        50
            996626059972968448	           PalmWheel	         1	        94
                     500855801	      OurCastlefield	      2920	       623
            950665244904443904	       curryandchaat	      1143	      1112
            921712829748695040	           hummel_ed	         5	        29
                      14524803	       mikespokefire	       297	       279
                    3153550295	      McrArtBusiness	       877	      1823
                      64020286	     Jennifer_Arcuri	     22684	     15701
                      21872186	          mattsalmon	       509	      1061
                      26019806	     digitalchicknic	       385	       996
            742414550650195968	     WomeninTechChat	     22821	     24901
                    3064311525	     BettingToolsBiz	      5637	      6257
                      20173539	        editordeedee	      4750	      2764
                     516664616	            MrCNeale	       547	       770
                     231227407	       VoltWorkforce	      1644	      3998
                     553650608	     naomiecarpenter	      1449	      1954
                      14062784	              suthen	      2460	      3336
                      55510225	        JamesNPersad	       383	       869
                      65226419	          Jasonkenny	       328	       152
                    2295217322	        tanjaplayner	    582102	    638712
                    4913674067	           TBrownDev	        57	        85
                      28610685	            dmannock	       242	      1153
                    1678380397	        mark_lishman	        71	       105
                    2655661000	        peetafarrell	        11	        47
                      20063107	         StuBamforth	      1173	      2672
            760191492405202945	       WiggleWoshers	       355	      1263
                      33499481	        AnnaKennedy1	     59396	     31199
                     469618453	      AndrewSempebwa	         8	        40
                      62933986	         gerrymcgons	       168	       406
                    2976808635	        EhsanErshadi	        22	        20
                     269027413	        SeanMartin96	       351	       222
                     122034317	           AmarettoS	       110	       403
                    1688483731	            BCloudUK	      4108	       811
                      94178769	          clairebaty	         5	        29
                     294922490	      AdamantlyAstro	        57	       315
            906832755920654336	     HannRatcliffe11	        23	       117
                     150989443	      simonsmith1985	        64	       177
                    2313861090	     _dreambigsports	      1352	      5000
                      42927270	             garmeeh	       197	       574
            814183500425428994	     NWCharityAwards	      1196	      1896
                      17857396	           joelstein	       925	      2755
                     147555725	     kikufashiontech	      1163	      1530
                       8299592	      LarissaAzevedo	       251	       475
                      27861844	          Strawsnake	       248	       382
                      93605978	        martyn_evans	      2828	      3895
            794958863753740288	          bolakicouk	      1513	      4734
            983351068439572480	     CalisterThabang	        24	       444
            983072087140073472	     Katlego98910809	        55	       319
            910278921509376000	              llnaim	         9	        96
                      20235566	            Hurnella	        80	       361
            965533524915867648	        KimKimwalton	        11	       139
            979643421378957312	     Quitemotofrenzy	       173	      2336
            906457733469282305	       HavantCarComp	       378	      1446
                     440646643	       maxsullivan10	        75	       332
                      22760704	             jstarmx	       391	       713
            977172069078196224	      Chris_eCars247	        33	        40
            979828888477011969	         Cash4carsGB	        90	       896
                     106194034	        rachaelashah	      1351	      2071
                     180137441	        adamnicolson	       225	       599
            769172020269547520	           ddmulcahy	       186	       131
                    2789409403	            jtpontet	       163	      1285
            977194673793093632	      iamkieralawlor	       263	       277
                      90741794	             ed_kent	        32	       146
            920602535601360896	     CheshDevRecruit	       230	       933
                     138859309	          KaneFulton	      9436	     10011
                     332837030	          MolaSarahO	       340	       388
                     273673074	        asadhaideruk	       228	       619
                      24436600	         MJasonHouck	    276841	    250705
                     235953124	       KSMotorsSales	      2180	      3177
                     206341881	     rebeccaroycroft	       339	       815
                      15851668	       ccollingridge	       810	       389
                      31399301	       StephenMills1	       999	      2051
            803536848052244480	      CambridgeSpark	       484	       198
                      17498096	           sawelch17	       240	       260
                      45923016	         oldglennboy	         9	        82
                     595187231	        hattersprint	       432	      1415
                    1208149644	         AshLoofeMRJ	       359	       402
            936189716650692608	     Paul_R_eCars247	         9	        37
            771749814430232576	            eCars247	       276	       193
                      18718409	           CarShopGB	      5161	       279
                    4370787567	        cardealerjon	       650	       987
                     298172607	     LornaShakesheff	       304	       834
                      21283662	            CVScreen	      2471	      4802
            975374551180808193	        AutoFairdeal	        34	       795
                      20909459	              pradkg	       186	      1162
            784766849619722241	           uxcitymcr	       778	      1557
                     552326548	       DavidHarper87	       523	      1703
            712003390138683393	          millie2403	         4	        94
            974930912818364416	        LoosleySimon	         3	        75
                     169221483	         sarahjforde	      1361	       581
            967039095183683590	              s_adi1	         8	        87
                     582323772	         sallypenni1	      1003	      2437
                    1886610606	          IrbyMotors	       721	       829
                      20391361	               zmega	       305	       225
                      23760451	          yobrenoops	       271	       504
                     265653580	            Mark_Ste	       315	       741
                    3431166497	      RebeccaDobson7	        19	        64
                    1153116534	        dmkeithskoda	       727	       495
                     231992317	      Boom_messaging	       285	       619
            973169858182549504	             SpinMcr	       369	      1031
                     499886354	           UK_Sogeti	      8882	      9477
                     186995127	          malcolmadu	        55	       131
                     272106377	         CharlieSay_	       508	       398
                    2754717248	            pagerob9	       241	      1029
                     950457312	           hysensopa	        21	       135
            961663288315711488	     cryptosignals07	       155	       901
                      19819473	        kirstyandjim	       292	       394
            921611800063496192	     Muhamma16981173	         4	        95
                    1575381942	      Demi_Solutions	     17097	      7444
                     241114656	       Adam_Clarence	        60	       545
            959403147448942592	         ferraripart	       269	      2088
            961944981366767617	         abihart_otb	        38	       111
                    2700377879	         blendextend	        39	       170
            851382506217766912	       Donna19711968	         4	       103
                     281055420	          beckycodes	       832	       526
                     578137082	            mryahbut	      2122	      3312
                      19726291	          reissy_boy	       471	      1401
                      56408963	         SillyWoman_	       854	      1505
                     147986711	        BetterPlaced	      3917	      4101
            966404226208423936	             LearnCD	       147	       691
                      33875570	           CowleenMc	       415	      1148
                    2517668870	     SteppingintoBiz	      2005	      4819
                    4821091391	        VanessaOrhue	       127	       141
                      23209381	      ChrisCarsGreen	      4256	      4934
            791321198663651328	            bulkqcom	       181	      1200
                     263352321	         smartie1984	       403	       459
                      35234839	          Stageplaza	      1008	      4927
                     359872304	      sndofconfusion	        54	       203
                     204977973	            devinemj	        57	       239
                    3345896175	      MrsBakerAlbion	       212	       345
                      20504401	        FastWebMedia	      2030	      1000
                    3091647303	           clare_clf	        44	      1017
            830115018905632773	     EmpowerWithTech	      2476	      2886
                      68967994	          Little_Jac	       641	      1287
            932250726683889664	      SocMediaMotors	       166	       730
            959222606539915265	      UKDSJ_business	       113	       260
            943237866251083776	               UKDSJ	       839	      2036
                     316546486	           Sean12697	       316	       267
                      23096711	          poppyeliza	       662	       431
            951751134070366208	         return_Paul	        73	       210
            951454867406671875	        SecondaryPru	       239	      1032
            963766272977702912	       GoodByeCar_co	         0	        30
            817034076947365888	     ForwardRoleSoph	        92	       176
            815667555536879618	          shamimab12	       138	       352
            892311653240508416	          s2b_online	      1029	      4370
                     190279090	          jamestorry	       960	      1113
                    1372312016	     James_4everManc	       748	       499
                      27426351	        RicbrooksMCR	      4295	      1129
                    2789034304	         hammond_123	       754	      3567
            755069220447199233	      heather_eliska	      1093	       825
            718033155517710336	      stringinfusion	      2137	      3230
                    2490078662	        AutochoiceUK	       121	       357
            961992315484110851	          Natalie_UX	        20	        66
                     222142123	             dchoyle	        45	        74
                     329179614	                ixek	      1262	      2223
                      15691629	       rickliveshere	       198	       504
            872367633232015362	        Leaders_Plus	      1718	      2444
                    3420787317	     david_mollardpt	       459	       867
            798827714194984960	        TEMA_Careers	       152	       211
            931828928448262145	           _MACAWLY_	       555	       906
            925027092831571968	        ashcarter_ao	       137	       470
            923125143672705024	        JacksonScala	         2	        11
                    3841172729	              morob_	        81	       613
                     293662702	              Cipurs	       229	       666
                     324296262	         Moses_Walsh	       493	       758
                      23708649	         gaylegamble	       810	      2170
            959500795837329408	       Talib07019197	         3	       100
                     290761322	          SJ_Moore14	       137	       310
                    1962361219	       DavideDurdenP	        61	        67
            953005535900721153	      CryptoCaveShop	       105	       995
            959066611477987329	             DVLC_UK	        30	       306
            944075292712361984	       NalamasaMadhu	         4	        31
                     298177242	       NickOMatthews	       911	       944
                     868609938	     ablessyourheart	       209	       547
                    2282418345	       skillsupplyuk	      1143	      3820
                     735568502	         dinahturner	      1310	      3136
            849718738672914437	     AffinityMediaUK	        80	       198
                     407651061	      Msx1234Michael	       226	      2092
                        755155	            alopesuk	       486	       483
            837685591923912708	             hac_100	       488	       372
                    3870881656	       HaintonDotNet	       230	       563
            751042336604512257	        jaz_buffalo7	        79	       160
                    1575952254	      WomanthologyUK	     21897	     20140
                     170422082	           gusliedke	       134	       584
                      43694474	           laura_j_d	       171	       790
                      28528370	           Dawnybabs	       311	       643
                      48665654	     ManchesterPride	     43276	      4676
                      93394802	         drjharrison	       571	       737
                    3759598037	     glendalegarage2	       239	      1837
                      35188349	       helloxheather	       194	       260
            954446772969058306	     Mahmood59624891	        10	       162
                    1335518047	       KhalidWali247	        49	      2443
            951712802124611584	         autoslide23	       332	       792
                      82663677	      absoluteagency	      1967	      1467
            932174988500758528	        ApprenticeNW	       147	       558
                     447401916	         RoseMarley1	      1817	      1577
            935813754083823617	       rocke_michael	         5	        12
            896381401104355328	       InfoHookstick	       283	      4998
            733777199111802880	           yourtaxi2	       540	      4443
            867130799690219520	            mhunbias	     10816	      9594
            951012177741262848	     TruckPartsStock	         7	        62
                    3070156391	     SimplyBetterRob	       150	       277
                      20774702	           Kirstie10	       173	       240
                      20593968	      ColmOFearghail	        62	       346
            949188241592217601	     0JxhwFGzBRB9wHQ	       788	      1422
                     525682699	        JoMclenaghan	       155	       648
            722385788768555008	        phttransport	       264	      1471
                    1545609968	        redgatelodge	       636	      1416
            892058460627640322	           Odo_DRIVE	       657	      4959
            836549032357027842	             S__2__S	      1104	      1437
                     348999909	           alldayPA_	     10735	      4466
            942413959361155072	           itssjordi	        39	       193
                      89285234	           craigbrad	       112	       284
            913199130100371456	          ATTAQUAMAN	         1	       821
            905170659772215296	       Crestmont_Cad	        35	       351
                      17335071	       richardaucock	     12236	      8148
                      33477609	            Teddyt72	        47	       329
            903584553494773760	            SHaigh92	        75	       270
            709740020131872769	     CarolineSwain01	       716	      1540
                     293441054	     MarkJamesBotham	       346	       388
                    1070976926	         BarnsleyDan	       136	       387
